"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099111","GO:0099111","microtubule-based transport","11/312","252/25730",0.0436507936507936,3.59979141229141,4.59487997444957,0.000275711153365846,0.0333500211111327,0.0307287335982902,"Dync1h1/Ift172/Kifc2/Cep131/Ccdc88c/Kif21b/Rufy4/Bicdl2/Ubb/Stk36/Dnajb13",11
"GO:0006084","GO:0006084","acetyl-CoA metabolic process","5/312","50/25730",0.1,8.24679487179487,5.68265805190631,0.000344067362092871,0.040017680883417,0.036872320140074,"Fasn/Pdk2/Acacb/Pdk4/Pipox",5
"GO:0046486","GO:0046486","glycerolipid metabolic process","14/312","394/25730",0.0355329949238579,2.93033320317584,4.27788819123643,0.000357303622665825,0.0400180057385724,0.0368726194618495,"Slc27a1/Pnpla7/Inpp5j/Dgka/Acp6/Pnpla2/Gdpd3/Abca3/Itpka/Plin5/Lipc/Plch2/Dgat2/Gal3st1",14
"GO:0015698","GO:0015698","inorganic anion transport","9/312","182/25730",0.0494505494505494,4.0780853761623,4.6169584339106,0.000400049480980351,0.0425933703545707,0.0392455622836774,"Clcn2/Cry2/Clic6/Slc25a10/Gabre/Gabra3/Ucp2/Clca1/Slc4a5",9
"GO:0006094","GO:0006094","gluconeogenesis","7/312","111/25730",0.0630630630630631,5.20068145068145,4.91380835469673,0.000417242660084069,0.0425933703545707,0.0392455622836774,"Per2/Hnf4a/Gpt/Slc25a10/Pdk2/Zfp692/Dgat2",7
"GO:0090208","GO:0090208","positive regulation of triglyceride metabolic process","4/312","30/25730",0.133333333333333,10.9957264957265,6.06913073760425,0.000453160125255126,0.0425933703545707,0.0392455622836774,"Slc27a1/Pnpla2/Plin5/Dgat2",4
"GO:0006637","GO:0006637","acyl-CoA metabolic process","7/312","113/25730",0.0619469026548673,5.10863399137735,4.84942899976693,0.000464808605059799,0.0425933703545707,0.0392455622836774,"Fasn/Hnf4a/Pdk2/Acacb/Pdk4/Pipox/Dgat2",7
"GO:0035383","GO:0035383","thioester metabolic process","7/312","113/25730",0.0619469026548673,5.10863399137735,4.84942899976693,0.000464808605059799,0.0425933703545707,0.0392455622836774,"Fasn/Hnf4a/Pdk2/Acacb/Pdk4/Pipox/Dgat2",7
"GO:0170062","GO:0170062","nutrient storage","7/312","113/25730",0.0619469026548673,5.10863399137735,4.84942899976693,0.000464808605059799,0.0425933703545707,0.0392455622836774,"Cry2/Tle6/Pnpla2/Plin5/Soat2/Acacb/Dgat2",7
"GO:0055088","GO:0055088","lipid homeostasis","9/312","190/25730",0.0473684210526316,3.90637651821862,4.45488290095382,0.000546455843682445,0.0486024256263445,0.04478231016184,"Nr1d1/Hnf4a/Pnpla2/Abca3/Tlcd1/Soat2/Lipc/Tm6sf2/Dgat2",9
