"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04710","Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","7/148","34/10650",0.205882352941176,14.8151828298887,9.57778104576394,3.41126209298396e-07,8.83516882082845e-05,8.07930495706727e-05,"13170/18627/18628/18626/217166/12953/20893",7
"mmu00051","Metabolism","Carbohydrate metabolism","mmu00051","Fructose and mannose metabolism","6/148","37/10650",0.162162162162162,11.6691015339664,7.71718465958739,1.06033317552532e-05,0.00137313146230529,0.00125565770785894,"20322/170768/234730/18642/15277/216019",6
