"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05022","Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","34/405","481/10650",0.0706860706860707,1.85878185878186,3.8321475277797,0.000354985919546678,0.0054929400182486,0.00458236671769396,"68194/100041273/100042503/102631912/13063/17718/17717/66142/17706/12864/17708/17992/22142/17716/67264/67530/17711/11957/22272/12314/68197/19122/17719/22418/67305/67790/12364/22151/50490/57265/56791/14775/26414/75600",34
"mmu05014","Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","28/405","376/10650",0.074468085106383,1.95823483057526,3.76116198874038,0.000521772334403324,0.00743898615757624,0.00620581372973599,"68194/100041273/100042503/102631912/13063/17718/17717/66142/17706/12864/17708/17992/22142/17716/67264/67530/17711/11957/22272/68197/237082/17719/67305/67790/12364/22151/12362/14775",28
"mmu04260","Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction","11/405","89/10650",0.123595505617978,3.25010403662089,4.23809828890663,0.000531356154112588,0.00743898615757624,0.00620581372973599,"66142/12864/17708/67530/17711/11933/22272/326618/22004/11936/12373",11
"mmu05322","Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus","15/405","150/10650",0.1,2.62962962962963,3.99637134286544,0.00057912914096062,0.00773927124738283,0.00645632008822127,"319155/15078/68024/319179/12263/20641/97908/12524/319190/319160/319158/50908/319178/50909/326620",15
"mmu04148","Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","15/405","163/10650",0.0920245398773006,2.41990456714383,3.63206212258464,0.00136612282433002,0.0173861515130651,0.0145040218494242,"69981/70676/18613/13609/20501/12491/320940/11846/276891/16889/70839/19128/13051/12362/226421",15
"mmu04713","Organismal Systems","Environmental adaptation","mmu04713","Circadian entrainment","11/405","100/10650",0.11,2.89259259259259,3.78056622343045,0.00141927767453593,0.0173861515130651,0.0145040218494242,"66066/14707/12314/73086/14710/19092/14706/234889/14681/14702/75600",11
"mmu05132","Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","20/405","253/10650",0.0790513833992095,2.07875860049773,3.45268098939626,0.00158521688542468,0.0186421505725943,0.0155518119706927,"13063/67117/22142/11852/20194/56382/80837/21898/56455/11841/67268/56378/67771/22151/18481/12362/12363/12475/226421/26414",20
"mmu04081","Environmental Information Processing","Signaling molecules and interaction","mmu04081","Hormone signaling","18/405","220/10650",0.0818181818181818,2.15151515151515,3.43134816736488,0.00183147884679367,0.0207097992675899,0.0172767032916164,"66066/14707/16847/20604/15874/14710/16333/19116/19092/14706/72472/14681/14526/11551/12167/54409/14702/19228",18
"mmu04022","Environmental Information Processing","Signal transduction","mmu04022","cGMP-PKG signaling pathway","15/405","172/10650",0.0872093023255814,2.29328165374677,3.39972733348561,0.00232648116043302,0.0253327948580484,0.021133337636682,"17260/11933/19046/12314/242202/54611/16333/16523/22068/11936/19092/234889/12062/11551/75600",15
"mmu05133","Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","9/405","77/10650",0.116883116883117,3.07359307359307,3.63074479775034,0.00248816138473844,0.0261256945397537,0.0217947970918819,"12314/21898/12263/50908/12362/12475/26414/75600/50909",9
"mmu05143","Human Diseases","Infectious disease: parasitic","mmu05143","African trypanosomiasis","6/405","39/10650",0.153846153846154,4.04558404558405,3.78835508326026,0.00327805785005852,0.0332327244109381,0.0277236834505857,"15129/100503605/15122/101488143/22329/110257",6
"mmu04015","Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway","17/405","215/10650",0.0790697674418605,2.0792420327304,3.17846766953197,0.00346112009425838,0.0339189769237321,0.0282961748056913,"109905/215449/16542/12314/71785/22341/14254/16333/78134/14062/54635/14164/13636/14745/14681/14257/75600",17
"mmu04510","Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","16/405","202/10650",0.0792079207920792,2.08287495416208,3.08932326880613,0.00442364947180981,0.041953320797164,0.0349986528669503,"12389/109905/12390/215449/16542/19046/71785/11855/13730/22341/14254/67268/54635/18481/14257/26414",16
