"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2001212","GO:2001212","regulation of vasculogenesis","8/852","15/25730",0.533333333333333,16.1064162754304,10.8302213363337,7.32507895313244e-09,3.27697395712406e-06,2.58445608614347e-06,"Rap1a/Cd34/Kdr/Tmem100/Rin2/Rtn4/Hey1/Ramp2",8
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","39/852","431/25730",0.0904872389791183,2.73267213489755,6.71315798361049,1.67897610701599e-08,6.04693146326397e-06,4.76904272881084e-06,"Cav1/Pdcd10/Cav2/Aplnr/Synj2bp/Wfdc1/Nme2/Cd109/Mef2c/Kdr/Gas1/B2m/Vegfc/Lims1/Ccl24/Nkx2-3/Flt1/Arg1/Wnt5a/Rgcc/Tbx18/Sulf1/Bnc1/Ccl11/Has2/Tgfb2/Fgf1/Cdh3/Vash1/Rtn4/Fgfbp1/Hey1/Mdk/Gpx1/Sfrp2/Flt4/Scg2/Cdkn1c/Eaf2",39
"GO:0045766","GO:0045766","positive regulation of angiogenesis","24/852","188/25730",0.127659574468085,3.85525921486365,7.27144184827265,1.70064999800934e-08,6.04693146326397e-06,4.76904272881084e-06,"Aqp1/Aplnr/Cd34/Ets1/Cd36/Rhob/Kdr/Ptgis/Cma1/Smoc2/Vegfc/Ccl24/Flt1/Wnt5a/Cysltr1/Ccl11/Fgf1/Rtn4/Cx3cr1/Mdk/Cxcr4/Ddah1/Sfrp2/Ramp2",24
"GO:0060485","GO:0060485","mesenchyme development","33/852","329/25730",0.100303951367781,3.02913224025001,6.85498347426232,1.82862097037994e-08,6.04693146326397e-06,4.76904272881084e-06,"Wwtr1/Rflnb/Aplnr/Mef2c/Meox1/Sema3c/Ranbp3l/Tmem100/Qki/Sema3e/Wnt5a/Sema3g/Rgcc/Acta2/Rdh10/Has2/Gcnt2/Tgfb2/Pdpn/Mark1/Rtn4/Slc39a10/Efna1/Tcf15/Hey1/Sema3a/Mdk/Foxc1/Bmp2/Glipr2/Frzb/Sfrp2/Hand2",33
"GO:0002685","GO:0002685","regulation of leukocyte migration","28/852","249/25730",0.112449799196787,3.39593114241002,7.03054983934088,1.90834314255177e-08,6.04693146326397e-06,4.76904272881084e-06,"Pecam1/Cd200/Rarres2/Cxcl14/Plvap/Jam2/Pdgfd/Nbl1/Dpp4/Vegfc/Ccl24/Wnt5a/Chst4/Ccl7/Bst1/Il33/Anxa1/Ccl12/P2ry12/Rtn4/Ccr1/Cx3cr1/Mdk/Stap1/Spi1/Cxcl13/Lyve1/Klrk1",28
"GO:0048762","GO:0048762","mesenchymal cell differentiation","29/852","265/25730",0.109433962264151,3.30485428293029,6.9794000069321,1.96608216647477e-08,6.04693146326397e-06,4.76904272881084e-06,"Wwtr1/Rflnb/Mef2c/Sema3c/Ranbp3l/Tmem100/Qki/Sema3e/Wnt5a/Sema3g/Rgcc/Rdh10/Has2/Gcnt2/Tgfb2/Pdpn/Mark1/Rtn4/Slc39a10/Efna1/Hey1/Sema3a/Mdk/Foxc1/Bmp2/Glipr2/Frzb/Sfrp2/Hand2",29
"GO:1904018","GO:1904018","positive regulation of vasculature development","24/852","191/25730",0.12565445026178,3.79470540520611,7.17421344594816,2.32172455744508e-08,6.72070973363954e-06,5.30043247263158e-06,"Aqp1/Aplnr/Cd34/Ets1/Cd36/Rhob/Kdr/Ptgis/Cma1/Smoc2/Vegfc/Ccl24/Flt1/Wnt5a/Cysltr1/Ccl11/Fgf1/Rtn4/Cx3cr1/Mdk/Cxcr4/Ddah1/Sfrp2/Ramp2",24
"GO:0051216","GO:0051216","cartilage development","27/852","239/25730",0.112970711297071,3.41166244327892,6.93179249146347,3.09538156019209e-08,8.4624292542807e-06,6.67407708329136e-06,"Rflnb/Bpnt2/Mgp/Mef2c/Lnpk/Efemp1/Tlr4/Lum/Wnt5a/Serpinh1/Cytl1/Ccn2/Mustn1/Sulf1/Maf/Col10a1/Tgfb2/Prkg2/Ogn/Mdk/Bmp2/Frzb/Sfrp2/Ccn1/Bmpr1b/Hand2/Pth1r",27
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","39/852","442/25730",0.0882352941176471,2.66466445733223,6.53287155234864,3.32183246938553e-08,8.60354609570851e-06,6.78537191945952e-06,"Tmx1/Pdcd10/Cd200/Ets1/Wfdc1/Pf4/Cd109/Thbd/Fgl2/Ptgis/Plat/Nbl1/Dpp4/Ctla2a/Arg1/Wnt5a/Ier3/Tfpi/Ins1/Pbk/Smim30/Metrnl/Il33/Rtn4/Vsig4/Pros1/Ccr1/Cx3cr1/Sema3a/Mdk/Igtp/Tmsb4x/Stap1/Gpx1/Oas1a/Cxcl13/Irgm2/Klrk1/Serpine2",39
"GO:0050920","GO:0050920","regulation of chemotaxis","26/852","225/25730",0.115555555555556,3.48972352634324,6.94149855177275,3.49959041334958e-08,8.61074221204664e-06,6.79104729158942e-06,"S1pr1/Rarres2/Cxcl14/Kdr/Pdgfd/Nbl1/Dpp4/Smoc2/Vegfc/Wnt5a/Ccl7/Bst1/Fgf1/P2ry12/Lpar1/Ccr1/Cx3cr1/Sema3a/Mdk/Cxcr4/Tmsb4x/Stap1/Spi1/Cxcl13/Scg2/Klrk1",26
